time;x;y;z
1.218;0.311;-0.829;0.062
1.223;0.454;-0.716;0.040
1.228;0.464;-0.677;0.014
1.233;0.406;-0.718;0.034
1.243;0.335;-0.762;0.078
1.247;0.241;-0.827;0.079
1.252;0.162;-0.888;0.052
1.260;0.158;-0.940;-0.023
1.262;0.238;-0.950;-0.072
1.308;0.214;-0.981;-0.042
1.309;0.168;-1.011;-0.033
1.310;0.156;-0.995;-0.031
1.311;0.201;-0.963;-0.034
1.312;0.264;-0.928;-0.042
1.313;0.325;-0.895;-0.000
1.314;0.376;-0.876;0.074
1.314;0.407;-0.862;0.124
1.315;0.432;-0.856;0.161
1.316;0.461;-0.851;0.208
1.317;0.489;-0.851;0.258
1.324;0.527;-0.859;0.317
1.326;0.572;-0.884;0.399
1.331;0.627;-0.919;0.460
1.336;0.661;-0.969;0.507
1.342;0.683;-1.001;0.544
1.345;0.695;-1.030;0.561
1.350;0.701;-1.070;0.546
1.356;0.728;-1.108;0.513
1.360;0.715;-1.122;0.493
1.365;0.625;-1.086;0.438
1.384;0.380;-0.918;0.343
1.386;0.123;-0.731;0.226
1.387;0.025;-0.650;0.055
1.388;-0.004;-0.613;-0.142
1.418;0.016;-0.598;-0.315
1.418;0.074;-0.589;-0.436
1.419;0.150;-0.581;-0.503
1.420;0.243;-0.577;-0.543
1.420;0.332;-0.578;-0.559
1.421;0.371;-0.568;-0.540
1.422;0.366;-0.542;-0.486
1.425;0.338;-0.529;-0.385
1.428;0.282;-0.536;-0.255
1.433;0.213;-0.566;-0.170
1.438;0.172;-0.590;-0.092
1.442;0.128;-0.619;-0.010
1.447;0.052;-0.637;0.069
1.452;0.020;-0.672;0.124
1.457;-0.024;-0.689;0.098
1.462;-0.073;-0.702;0.085
1.468;-0.138;-0.720;0.075
1.490;-0.229;-0.760;0.024
1.493;-0.266;-0.781;0.009
1.505;-0.306;-0.823;-0.002
1.505;-0.322;-0.823;-0.020
1.506;-0.291;-0.798;-0.043
1.506;-0.165;-0.787;-0.100
1.507;-0.106;-0.729;-0.127
1.534;-0.202;-0.693;-0.208
1.535;-0.247;-0.613;-0.210
1.535;-0.280;-0.588;-0.240
1.535;-0.225;-0.605;-0.179
1.536;-0.175;-0.769;0.007
1.536;-0.229;-0.793;-0.217
1.540;0.030;-1.117;-0.184
1.545;0.531;-2.019;-0.239
1.550;0.707;-3.154;0.265
1.558;0.020;-3.482;0.676
1.562;-0.187;-3.689;0.742
1.565;-0.200;-3.837;0.814
1.593;-0.061;-3.852;0.832
1.594;0.192;-3.514;0.682
1.594;0.344;-2.803;0.354
1.595;0.322;-2.015;0.097
1.595;0.256;-1.405;-0.044
1.596;0.238;-0.984;-0.172
1.599;0.238;-0.711;-0.306
1.606;0.232;-0.544;-0.394
1.609;0.227;-0.474;-0.410
1.614;0.203;-0.487;-0.415
1.619;0.151;-0.564;-0.457
1.627;0.097;-0.687;-0.532
1.630;0.065;-0.836;-0.591
1.635;0.049;-0.977;-0.609
1.643;0.043;-1.089;-0.577
1.644;0.042;-1.158;-0.501
1.648;0.045;-1.167;-0.399
1.653;0.048;-1.132;-0.296
1.669;0.047;-1.080;-0.198
1.672;0.033;-1.033;-0.108
1.674;0.009;-1.003;-0.032
1.704;-0.021;-0.988;0.033
