"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
5.999218750E-1;1.299687624E0;4.733834743E0;8.182356834E0;9.541977922E0
6.019218750E-1;1.429654360E0;4.804990292E0;8.216938019E0;9.625482518E0
6.039218750E-1;1.580125213E0;4.886307240E0;8.242881775E0;9.711740013E0
6.059218750E-1;1.719879627E0;4.956055164E0;8.246972084E0;9.774099308E0
6.079218750E-1;1.857594132E0;5.009043694E0;8.218402863E0;9.802209970E0
6.099218750E-1;1.982542634E0;5.050606728E0;8.155752182E0;9.795682583E0
6.119218750E-1;2.073168039E0;5.076099873E0;8.072185516E0;9.758329501E0
6.139218750E-1;2.136145115E0;5.098328114E0;7.981665134E0;9.708915687E0
6.160984370E-1;2.156093597E0;5.132124424E0;7.888721943E0;9.655018104E0
6.179828120E-1;2.116321087E0;5.173793316E0;7.793892384E0;9.591230928E0
6.199218750E-1;2.028051615E0;5.253558636E0;7.677304745E0;9.521233105E0
6.219218750E-1;1.932992339E0;5.362044334E0;7.585271358E0;9.488114692E0
6.239218750E-1;1.787941933E0;5.394040585E0;7.538785458E0;9.440640675E0
6.259218750E-1;1.612399101E0;5.365023136E0;7.517860413E0;9.375581544E0
6.279218750E-1;1.447582245E0;5.349977493E0;7.523961067E0;9.344931443E0
6.299218750E-1;1.301631689E0;5.338542938E0;7.547788143E0;9.336133654E0
6.319218750E-1;1.161111236E0;5.318374634E0;7.601140022E0;9.349364560E0
6.339218750E-1;1.033222556E0;5.291654587E0;7.670294285E0;9.375637127E0
6.359218750E-1;9.184061885E-1;5.280986309E0;7.759502411E0;9.430915331E0
6.379218750E-1;8.206174374E-1;5.282336712E0;7.847149372E0;9.494959051E0
6.399218750E-1;7.258453369E-1;5.283428669E0;7.913277149E0;9.542611026E0
6.419218750E-1;6.580032110E-1;5.296778679E0;7.949793339E0;9.575387550E0
6.439218750E-1;6.265529990E-1;5.332557678E0;7.968085289E0;9.608284094E0
6.459218750E-1;6.104543805E-1;5.355542183E0;7.963689327E0;9.616383641E0
6.479218750E-1;6.240534782E-1;5.353923321E0;7.959130764E0;9.612580308E0
6.499218750E-1;6.770802736E-1;5.346415043E0;7.954036236E0;9.607772060E0
6.519218750E-1;7.643536925E-1;5.345247269E0;7.966437817E0;9.623930404E0
6.539218750E-1;8.768428564E-1;5.352017403E0;8.005942345E0;9.669956386E0
6.559218750E-1;9.944747686E-1;5.362791538E0;8.052409172E0;9.725729105E0
6.579218750E-1;1.117584586E0;5.387796402E0;8.091673851E0;9.785322227E0
